Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc2-l1a,Ethernet2,spine,dc2-sp2,Ethernet1,True
l3leaf,dc2-l1a,Ethernet3,spine,dc2-sp3,Ethernet1,True
l3leaf,dc2-l1a,Ethernet4,mlag_peer,dc2-l1b,Ethernet4,True
l3leaf,dc2-l1a,Ethernet5,mlag_peer,dc2-l1b,Ethernet5,True
l3leaf,dc2-l1a,Ethernet6,server,dc2-server1,Ethernet1,True
l3leaf,dc2-l1a,Ethernet12,server,PHONE01_untagged_phone,Eth0,True
l3leaf,dc2-l1b,Ethernet1,spine,dc2-sp1,Ethernet2,True
l3leaf,dc2-l1b,Ethernet2,spine,dc2-sp2,Ethernet2,True
l3leaf,dc2-l1b,Ethernet3,spine,dc2-sp3,Ethernet2,True
l3leaf,dc2-l1b,Ethernet4,mlag_peer,dc2-l1a,Ethernet4,True
l3leaf,dc2-l1b,Ethernet5,mlag_peer,dc2-l1a,Ethernet5,True
l3leaf,dc2-l1b,Ethernet7,server,dc2-server1,Ethernet2,True
l3leaf,dc2-l2a,Ethernet1,spine,dc2-sp1,Ethernet3,True
l3leaf,dc2-l2a,Ethernet2,spine,dc2-sp2,Ethernet3,True
l3leaf,dc2-l2a,Ethernet3,spine,dc2-sp3,Ethernet3,True
l3leaf,dc2-l2a,Ethernet4,mlag_peer,dc2-l2b,Ethernet4,True
l3leaf,dc2-l2a,Ethernet5,mlag_peer,dc2-l2b,Ethernet5,True
l3leaf,dc2-l2b,Ethernet1,spine,dc2-sp1,Ethernet4,True
l3leaf,dc2-l2b,Ethernet2,spine,dc2-sp2,Ethernet4,True
l3leaf,dc2-l2b,Ethernet3,spine,dc2-sp3,Ethernet4,True
l3leaf,dc2-l2b,Ethernet4,mlag_peer,dc2-l2a,Ethernet4,True
l3leaf,dc2-l2b,Ethernet5,mlag_peer,dc2-l2a,Ethernet5,True
l3leaf,dc2-l3a,Ethernet1,spine,dc2-sp1,Ethernet5,True
l3leaf,dc2-l3a,Ethernet2,spine,dc2-sp2,Ethernet5,True
l3leaf,dc2-l3a,Ethernet3,spine,dc2-sp3,Ethernet5,True
l3leaf,dc2-l3a,Ethernet4,mlag_peer,dc2-l3b,Ethernet4,True
l3leaf,dc2-l3a,Ethernet5,mlag_peer,dc2-l3b,Ethernet5,True
l3leaf,dc2-l3b,Ethernet1,spine,dc2-sp1,Ethernet6,True
l3leaf,dc2-l3b,Ethernet2,spine,dc2-sp2,Ethernet6,True
l3leaf,dc2-l3b,Ethernet3,spine,dc2-sp3,Ethernet6,True
l3leaf,dc2-l3b,Ethernet4,mlag_peer,dc2-l3a,Ethernet4,True
l3leaf,dc2-l3b,Ethernet5,mlag_peer,dc2-l3a,Ethernet5,True
l3leaf,dc2-l4a,Ethernet1,spine,dc2-sp1,Ethernet7,True
l3leaf,dc2-l4a,Ethernet2,spine,dc2-sp2,Ethernet7,True
l3leaf,dc2-l4a,Ethernet3,spine,dc2-sp3,Ethernet7,True
l3leaf,dc2-l4a,Ethernet4,mlag_peer,dc2-l4b,Ethernet4,True
l3leaf,dc2-l4a,Ethernet5,mlag_peer,dc2-l4b,Ethernet5,True
l3leaf,dc2-l4b,Ethernet1,spine,dc2-sp1,Ethernet8,True
l3leaf,dc2-l4b,Ethernet2,spine,dc2-sp2,Ethernet8,True
l3leaf,dc2-l4b,Ethernet3,spine,dc2-sp3,Ethernet8,True
l3leaf,dc2-l4b,Ethernet4,mlag_peer,dc2-l4a,Ethernet4,True
l3leaf,dc2-l4b,Ethernet5,mlag_peer,dc2-l4a,Ethernet5,True
l3leaf,dc2-l5a,Ethernet1,spine,dc2-sp1,Ethernet9,True
l3leaf,dc2-l5a,Ethernet2,spine,dc2-sp2,Ethernet9,True
l3leaf,dc2-l5a,Ethernet3,spine,dc2-sp3,Ethernet9,True
l3leaf,dc2-l5a,Ethernet4,mlag_peer,dc2-l5b,Ethernet4,True
l3leaf,dc2-l5a,Ethernet5,mlag_peer,dc2-l5b,Ethernet5,True
l3leaf,dc2-l5b,Ethernet1,spine,dc2-sp1,Ethernet10,True
l3leaf,dc2-l5b,Ethernet2,spine,dc2-sp2,Ethernet10,True
l3leaf,dc2-l5b,Ethernet3,spine,dc2-sp3,Ethernet10,True
l3leaf,dc2-l5b,Ethernet4,mlag_peer,dc2-l5a,Ethernet4,True
l3leaf,dc2-l5b,Ethernet5,mlag_peer,dc2-l5a,Ethernet5,True
spine,dc2-sp1,Ethernet1,l3leaf,dc2-l1a,Ethernet1,True
spine,dc2-sp1,Ethernet2,l3leaf,dc2-l1b,Ethernet1,True
spine,dc2-sp1,Ethernet3,l3leaf,dc2-l2a,Ethernet1,True
spine,dc2-sp1,Ethernet4,l3leaf,dc2-l2b,Ethernet1,True
spine,dc2-sp1,Ethernet5,l3leaf,dc2-l3a,Ethernet1,True
spine,dc2-sp1,Ethernet6,l3leaf,dc2-l3b,Ethernet1,True
spine,dc2-sp1,Ethernet7,l3leaf,dc2-l4a,Ethernet1,True
spine,dc2-sp1,Ethernet8,l3leaf,dc2-l4b,Ethernet1,True
spine,dc2-sp1,Ethernet9,l3leaf,dc2-l5a,Ethernet1,True
spine,dc2-sp1,Ethernet10,l3leaf,dc2-l5b,Ethernet1,True
spine,dc2-sp1,Ethernet11,l3leaf,dc2-el1,Ethernet1,True
spine,dc2-sp1,Ethernet12,l3leaf,dc2-el2,Ethernet1,True
spine,dc2-sp1,Ethernet13,l3leaf,dc2-el3,Ethernet1,True
spine,dc2-sp2,Ethernet1,l3leaf,dc2-l1a,Ethernet2,True
spine,dc2-sp2,Ethernet2,l3leaf,dc2-l1b,Ethernet2,True
spine,dc2-sp2,Ethernet3,l3leaf,dc2-l2a,Ethernet2,True
spine,dc2-sp2,Ethernet4,l3leaf,dc2-l2b,Ethernet2,True
spine,dc2-sp2,Ethernet5,l3leaf,dc2-l3a,Ethernet2,True
spine,dc2-sp2,Ethernet6,l3leaf,dc2-l3b,Ethernet2,True
spine,dc2-sp2,Ethernet7,l3leaf,dc2-l4a,Ethernet2,True
spine,dc2-sp2,Ethernet8,l3leaf,dc2-l4b,Ethernet2,True
spine,dc2-sp2,Ethernet9,l3leaf,dc2-l5a,Ethernet2,True
spine,dc2-sp2,Ethernet10,l3leaf,dc2-l5b,Ethernet2,True
spine,dc2-sp2,Ethernet11,l3leaf,dc2-el1,Ethernet2,True
spine,dc2-sp2,Ethernet12,l3leaf,dc2-el2,Ethernet2,True
spine,dc2-sp2,Ethernet13,l3leaf,dc2-el3,Ethernet2,True
spine,dc2-sp3,Ethernet1,l3leaf,dc2-l1a,Ethernet3,True
spine,dc2-sp3,Ethernet2,l3leaf,dc2-l1b,Ethernet3,True
spine,dc2-sp3,Ethernet3,l3leaf,dc2-l2a,Ethernet3,True
spine,dc2-sp3,Ethernet4,l3leaf,dc2-l2b,Ethernet3,True
spine,dc2-sp3,Ethernet5,l3leaf,dc2-l3a,Ethernet3,True
spine,dc2-sp3,Ethernet6,l3leaf,dc2-l3b,Ethernet3,True
spine,dc2-sp3,Ethernet7,l3leaf,dc2-l4a,Ethernet3,True
spine,dc2-sp3,Ethernet8,l3leaf,dc2-l4b,Ethernet3,True
spine,dc2-sp3,Ethernet9,l3leaf,dc2-l5a,Ethernet3,True
spine,dc2-sp3,Ethernet10,l3leaf,dc2-l5b,Ethernet3,True
spine,dc2-sp3,Ethernet11,l3leaf,dc2-el1,Ethernet3,True
spine,dc2-sp3,Ethernet12,l3leaf,dc2-el2,Ethernet3,True
spine,dc2-sp3,Ethernet13,l3leaf,dc2-el3,Ethernet3,True
